created:2024-07-01 02:30:12 UTC
ephemeris_start:2024-07-01 02:16:42 UTC ephemeris_stop:2024-07-04 02:16:42 UTC step_size:60
ephemeris_source:blend
UVW
-4.2079479541e-09 -1.9684809497e-12 5.9051890571e-12 -1.2257343002e-09 1.7787506862e-09 -8.3919375229e-13 -2.5210157138e-12
1.2760634398e-12 8.5254460423e-13 -2.1034501115e-12 1.8393844906e-09 2.6726573730e-15 -1.6958737141e-15 1.8969839988e-12
2024183022942.000 2751.0374753188 -5958.5222598941 1988.8543894627 3.6262968380 3.5787230505 5.6769071564
1.2906081526e-06 -1.8923722819e-06 4.1697833738e-06 -1.1698624295e-09 1.1402486431e-09 4.5817891989e-06 2.6651888633e-09
-4.6807176759e-09 -1.5599533761e-12 6.3950194084e-12 -1.2949776085e-09 1.9448643412e-09 -1.3447164557e-12 -2.6994108259e-12
1.3469739698e-12 1.2813307758e-12 -3.0072313447e-12 1.6133484454e-09 3.7808500197e-15 -2.1622360251e-15 1.6691546962e-12
2024183023042.000 2962.3307950214 -5730.6959627420 2324.7762367533 3.4141998426 4.0126685319 5.5163203179
1.3572368273e-06 -2.0614139543e-06 4.6772337072e-06 -1.1591057568e-09 9.0147789056e-10 4.7604576884e-06 2.8427992384e-09
-5.1892864318e-09 -1.0173029613e-12 6.9127872609e-12 -1.3630846520e-09 2.1163417839e-09 -1.8862109800e-12 -2.8802940549e-12
1.4167243129e-12 1.7592316548e-12 -4.0467271024e-12 1.3603229183e-09 5.0023784731e-15 -2.6139436032e-15 1.4769655042e-12
2024183023142.000 3160.4374922325 -5477.3594392446 2650.3202937580 3.1869068515 4.4287467173 5.3311106015
1.4223852781e-06 -2.2351565037e-06 5.2284535659e-06 -1.1182362007e-09 5.7505001370e-10 4.9073672944e-06 3.0223276135e-09
-5.7343413440e-09 -3.3727297668e-13 7.4588524736e-12 -1.4296329550e-09 2.2922367532e-09 -2.4540290059e-12 -3.0627596460e-12
1.4848816386e-12 2.2818828550e-12 -5.2191836257e-12 1.0848222924e-09 6.3221140480e-15 -3.0435175107e-15 1.3241031741e-12
2024183023242.000 3344.4759965462 -5199.6409822603 2964.0336329238 2.9454349926 4.8250966421 5.1221108167
1.4856643377e-06 -2.4126252302e-06 5.8244778883e-06 -1.0438296727e-09 1.5712818396e-10 5.0201123057e-06 3.2028817923e-09
-6.3163869710e-09 4.8034269054e-13 8.0334500453e-12 -1.4942236892e-09 2.4715103333e-09 -3.0379404694e-12 -3.2458529252e-12
1.5510405896e-12 2.8434146786e-12 -6.5196339365e-12 7.9176139043e-10 7.7230151375e-15 -3.4445871694e-15 1.2135491494e-12
2024183023342.000 3513.6276959878 -4898.7779120612 3264.5165116657 2.6908653548 5.1999465104 4.8902606155
1.5467112658e-06 -2.5927612307e-06 6.4660756541e-06 -9.3312584720e-10 -3.5434580017e-10 5.0968964256e-06 3.3835254468e-09
-6.9357339850e-09 1.4318206564e-12 8.6366857647e-12 -1.5564878827e-09 2.6530408007e-09 -3.6273673672e-12 -3.4285779234e-12
1.6148295665e-12 3.4362766274e-12 -7.9407823502e-12 4.8636710221e-10 9.1861725134e-15 -3.8119370988e-15 1.1475265273e-12
2024183023442.000 3667.1406560999 -4576.1109267896 3550.4286748760 2.4243383025 5.5516237029 4.6366021940
1.6051955522e-06 -2.7744319233e-06 7.1537299953e-06 -7.8443569124e-10 -9.5934947155e-10 5.1365646346e-06 3.5632863028e-09
-7.5924896809e-09 2.5089029377e-12 9.2685330028e-12 -1.6160920933e-09 2.8356348790e-09 -4.2114186802e-12 -3.6099056729e-12
